start_loc,end_loc,walk_distance,walk_time,distance,time
g_ch15,kir14,595.4,428.7,145.0,102.0
kir14,bre2,1026.3,738.9,615.0,432.0
bre2,g_ch15,1254.2,903.0,561.0,396.0
ct_m5,bre2,942.9,678.9,579.0,408.0
bre2,ch1,555.3,399.8,415.0,294.0
ch1,ct_m5,395.9,285.0,357.0,252.0
ct_m5,g_ch15,311.3,224.1,126.0,90.0
bro_luas3,ct_m5,405.5,292.0,345.0,245.99999999999997
ch1,bro_luas3,98.7,71.1,89.0,60.0
kir14,fp12,469.5,338.0,303.0,216.0
fp12,bre2,1549.7,1115.8,918.0,648.0
pp13,kir14,741.9,534.1,56.0,42.0
g_ch15,pp13,175.7,126.5,122.0,84.0
pp13,fp12,321.5,231.4,285.0,204.0
gg_luas4,ct_m5,269.5,194.0,228.0,162.0
bro_luas3,gg_luas4,674.9,485.9,369.0,258.0
nh_ar9,ph16,330.6,238.0,213.0,150.0
ph16,bc11,547.3,394.0,194.0,138.0
bc11,nh_ar9,271.5,195.5,207.0,144.0
fp12,nh_ar9,260.8,187.8,230.0,162.0
bc11,fp12,365.3,263.0,200.0,144.0
r_st8,pp13,436.0,313.9,214.0,150.0
g_ch15,r_st8,301.0,216.7,167.0,120.0
nh_ar9,hse17,221.6,159.6,207.0,144.0
hse17,ph16,136.6,98.4,118.0,84.0
gg_luas4,ct_office6,172.0,123.9,168.0,120.0
ct_office6,ct_m5,97.4,70.1,68.0,48.0
r_st8,ct_office6,106.8,76.9,82.0,60.0
gg_luas4,r_st8,278.9,200.8,204.0,144.0
r_st8,nh_a10,260.0,187.2,237.0,168.0
nh_a10,pp13,458.5,330.1,277.0,198.0
nh_a10,fp12,256.7,184.8,224.0,156.0
nh_a10,nh_ar9,154.8,111.4,89.0,60.0
nh_a10,hse17,364.9,262.7,284.0,198.0
gg_luas4,nh_a10,528.1,380.3,374.0,264.0
gg_luas4,hse17,880.6,634.0,526.0,372.0
ct_office6,r_ac7,61.0,44.0,47.0,36.0
r_ac7,ct_m5,85.4,61.5,70.0,48.0
r_st8,r_ac7,81.3,58.5,51.0,36.0
r_ac7,g_ch15,286.2,206.0,138.0,96.0
